Date,City,Shape
10/10/60,Kaneohe,Light
5/15/66,Nanakuli,Disk
6/1/67,Shofield Barracks-Civilian,Changing
6/30/67,Schofield Barracks,Circle
9/15/67,Schofield Barracks Military area,Circle
6/25/68,Honolulu,Circle
4/15/69,At sea (Between Panama & Hawaii),Light
6/1/69,Oahu (400 miles NW of),Light
6/6/70,Maui,Egg
6/30/70,Honolulu,Sphere
7/16/70,Pearl Harbor,Unknown
8/1/70,Racine,Unknown
8/2/71,Kauai,Disk
7/15/72,Kekaha Highway,Circle
2/1/73,Honolulu,Sphere
6/1/73,Honolulu,Disk
11/23/73,Kapaa,Cigar
7/5/77,Kekaha,Circle
9/1/77,Dublin,Triangle
10/15/78,"Haena, Kauai",Light
11/15/79,Honolulu,Sphere
6/1/80,Kaneohe,Cigar
8/12/80,Honolulu,rectangle
4/5/83,Waikiki,Disk
4/7/83,Honolulu,Oval
6/30/83,Koneohe Bay,
6/1/84,Ka'anapali (Maui),Light
7/6/85,Kona,Triangle
9/12/85,Kaunakakai,Egg
12/31/85,Lahaina,Light
12/31/86,Kaneohe,Cigar
12/2/88,Hilo,Light
6/1/89,Hilo,Unknown
12/10/90,Honolulu (Hawaii Kai),Flash
8/1/91,Kapaa,Unknown
2/2/92,Makawao,Other
8/24/92,Kohala Coast (Big Island),Light
5/15/93,Barbers Point NAS,Fireball
6/11/93,Kihei,Oval
7/15/93,Hilo,Formation
7/20/93,Honolulu,Unknown
8/4/93,LaHaina,Chevron
10/17/93,Lihue,Disk
1/1/94,Honolulu,Light
6/1/94,Lahaina,Fireball
6/1/94,Lahaina (Puamana) (residential oceanside),Circle
9/4/94,Ewa Beach,Cigar
1/7/95,Makapiu Point,
2/24/95,Cam Highway (?),
3/30/95,Honolulu,
6/1/95,Wailuku,Fireball
6/15/95,Kapaau,Teardrop
10/16/95,Scofield Barracks,
1/5/97,Haleiwa,Triangle
6/1/97,Waimanalo,Oval
7/11/97,"Hanalei, Kauai",Oval
8/15/97,Lahaina,Triangle
9/21/97,Manoa Valley (Honolulu),Disk
10/15/97,Naalehu,Sphere
1/1/98,Huelo,Light
1/24/98,Kaneohe,Triangle
3/11/98,Kauai (2/miles off north coast of),Sphere
7/4/98,Hawii (Waikiki),Light
10/29/98,Lihue (Kauai),Other
10/29/98,Lahaina,Sphere
3/13/99,Waipahu Peninsula (Waipahu),Light
3/14/99,Lihue,Light
4/7/99,Kamuela (Waimea),Changing
4/7/99,Waikoloa,Changing
4/25/99,Paia,Cylinder
5/5/99,Kaneohe,Sphere
6/19/99,Honolulu (Waikiki),Other
8/22/99,Lahaina (Maui),Sphere
9/1/99,Kapaa,Triangle
9/17/99,Honolulu,Circle
9/30/99,Pearl Ridge,Sphere
2/15/00,Honolulu,Disk
2/29/00,Hawaii's Volcano National Park,Sphere
6/3/00,Kaneohe,Other
6/30/00,Ewa Beach,Triangle
9/25/00,Maunaloa (Molokai),Chevron
11/9/00,Honolulu,Formation
11/30/00,Kapa'a,Circle
12/1/00,Kilauea,Fireball
12/1/00,Kilauea,Fireball
12/1/00,Lawai,Flash
12/1/00,Lawai,Unknown
12/1/00,Lawai,Light
12/27/00,Kea'au,Sphere
1/8/01,Kamuela,
1/20/01,Kailua-Kona,Fireball
1/29/01,Wahiawa,Other
4/18/01,Poipu,Light
6/6/01,Waianae,Sphere
6/13/01,Kailua Kona,Circle
6/20/01,Pahoa,Circle
7/15/01,Waimanalo,Triangle
7/20/01,Waianae,Sphere
9/5/01,Honolulu,Light
11/18/01,Kahului,Disk
12/1/01,Kahului,Disk
12/26/01,Honolulu,Other
1/2/02,Honolulu,Triangle
1/9/02,Kapula Bay (Maui),Light
1/22/02,Kahana Beach,Circle
1/26/02,Kahana Beach,Circle
4/6/02,Maui,Oval
4/11/02,Hilo,Changing
5/15/02,Ford Island,Sphere
5/29/02,Keaau,Sphere
6/30/02,Honolulu,Circle
8/4/02,Keaau,Disk
8/22/02,Honolulu,Light
8/26/02,Maui,Light
9/16/02,Kapaa,Circle
9/28/02,Honolulu,Fireball
11/30/02,Hawaii Volcanoes National Park,Unknown
3/17/03,Kailua-Kona,Unknown
6/15/03,Lahaina,Cone
6/18/03,Napali Coast,Other
7/10/03,Waikiki,Circle
9/8/03,Maui,Flash
9/14/03,Honolulu,Circle
9/17/03,Honolulu,Sphere
11/1/03,Ewa Beach,Sphere
11/8/03,Maluhia (Maui),Other
11/9/03,Kau,Fireball
12/22/03,Pahoa,Circle
12/27/03,Honolulu,Sphere
1/2/04,Wailea,Circle
1/5/04,Maui,Other
1/15/04,Kailua,Light
2/27/04,Keaau,Light
3/13/04,Keaau,Circle
5/20/04,Honolulu,Unknown
6/16/04,Lahaina,Cross
7/11/04,Kahului,Light
9/8/04,Waikele,Oval
