lat,lon,island,name,address,type,year_open
621954.2041,2353014.539,Oahu,Aston Waikiki Circle Hotel,2464 Kalakaua Avenue,HOTEL,1963
622334.2216,2352968.741,Oahu,Aston Waikiki Sunset,229 Paoakalani Avenue,CONDOMINIUM HOTEL,1979
622261.2037,2353028.296,Oahu,Aston at the Waikiki Banyan,201 Ohua Avenue,CONDOMINIUM HOTEL,1979
622000.8729,2353041.569,Oahu,Aston Waikiki Beach Tower,2470 Kalakaua Avenue,CONDOMINIUM HOTEL,1984
816540.3123,2171679.031,Hawaii,Aston Kona by the Sea,75-6106 Alii Drive,CONDOMINIUM HOTEL,1982
826124.3483,2205808.575,Hawaii,Aston Shores at Waikoloa,69-1035 Keana Place,CONDOMINIUM HOTEL,1987
827012.8328,2205963.252,Hawaii,Aston Waikoloa Colony Villas,69-555 Waikoloa Beach Drive,CONDOMINIUM HOTEL,2003
739919.974,2315330.603,Maui,Aston at The Whaler on Kaanapali Beach,2481 Kaanapali Parkway,CONDOMINIUM HOTEL,1975
740510.5726,2318544.599,Maui,Aston at Papakea Resort,3543 Lower Honoapiilani Road,CONDOMINIUM HOTEL,1976
740398.9416,2318204.038,Maui,Aston Kaanapali Shores,3445 Lower Honoapiilani Road,CONDOMINIUM HOTEL,1980
740089.0582,2316647.192,Maui,Aston Maui Kaanapali Villas,45 Kai Ala Drive,CONDOMINIUM HOTEL,1966
766249.151,2291802.213,Maui,Aston Maui Hill,2881 South Kihei Road,CONDOMINIUM HOTEL,1981
765992.8951,2292828.041,Maui,Aston at the Maui Banyan,2575 South Kihei Road,CONDOMINIUM HOTEL,1990
740050.3272,2317979.03,Maui,Aston Mahana at Kaanapali,110 Kaanapali Shores Place,CONDOMINIUM HOTEL,1974
740571.1623,2318740.994,Maui,Aston Paki Maui,3615 Lower Honoapiilani Road,CONDOMINIUM HOTEL,1976
466081.1068,2438778.322,Kauai,Aston Islander on the Beach,440 Aleka Place,CONDOMINIUM HOTEL,1970
454025.165,2419176.326,Kauai,Aston at Poipu Kai,1775 Poipu Road,CONDOMINIUM HOTEL,1980
463371.7942,2428227.224,Kauai,Banyan Harbor Resort,3411 Wilcox Road,CONDOMINIUM HOTEL,1978
466227.5435,2438985.582,Kauai,Plantation Hale Suites,525 Aleka Loop,CONDOMINIUM HOTEL,1973
622040.428,2353230.054,Oahu,Aqua Pacific Monarch Hotel,2427 Kuhio Avenue,CONDOMINIUM HOTEL,1976
622169.2738,2352801.632,Oahu,Renew,129 Paoakalani Avenue,HOTEL,1967
622028.1302,2353182.292,Oahu,Royal Grove Hotel,151 Uluniu Avenue,HOTEL,1952
621822.0999,2353619.042,Oahu,White Sands,431 Nohonani Street,HOTEL,1959
