Latitude,Longitude,island,name,address,zipcode,type,units,year_open,hawaiistgrdsownerhotelsarea
621954.2041,2353014.539,Oahu,Aston Waikiki Circle Hotel,2464 Kalakaua Avenue,96815,HOTEL,104,1963,Honolulu
622334.2216,2352968.741,Oahu,Aston Waikiki Sunset,229 Paoakalani Avenue,96815,CONDOMINIUM HOTEL,232,1979,Honolulu
622261.2037,2353028.296,Oahu,Aston at the Waikiki Banyan,201 Ohua Avenue,96815,CONDOMINIUM HOTEL,146,1979,Honolulu
622000.8729,2353041.569,Oahu,Aston Waikiki Beach Tower,2470 Kalakaua Avenue,96815,CONDOMINIUM HOTEL,120,1984,Honolulu
816540.3123,2171679.031,Hawaii,Aston Kona by the Sea,75-6106 Alii Drive,96740,CONDOMINIUM HOTEL,65,1982,Kailua Kona
826124.3483,2205808.575,Hawaii,Aston Shores at Waikoloa,69-1035 Keana Place,96738,CONDOMINIUM HOTEL,87,1987,Waikoloa
827012.8328,2205963.252,Hawaii,Aston Waikoloa Colony Villas,69-555 Waikoloa Beach Drive,96738,CONDOMINIUM HOTEL,121,2003,Waikoloa
739919.974,2315330.603,Maui,Aston at The Whaler on Kaanapali Beach,2481 Kaanapali Parkway,96761,CONDOMINIUM HOTEL,328,1975,Lahaina
740510.5726,2318544.599,Maui,Aston at Papakea Resort,3543 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,348,1976,Lahaina
740398.9416,2318204.038,Maui,Aston Kaanapali Shores,3445 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,450,1980,Lahaina
740089.0582,2316647.192,Maui,Aston Maui Kaanapali Villas,45 Kai Ala Drive,96761,CONDOMINIUM HOTEL,250,1966,Lahaina
766249.151,2291802.213,Maui,Aston Maui Hill,2881 South Kihei Road,96753,CONDOMINIUM HOTEL,130,1981,Kihei
765992.8951,2292828.041,Maui,Aston at the Maui Banyan,2575 South Kihei Road,96753,CONDOMINIUM HOTEL,244,1990,Kihei
740050.3272,2317979.03,Maui,Aston Mahana at Kaanapali,110 Kaanapali Shores Place,96761,CONDOMINIUM HOTEL,201,1974,Lahaina
740571.1623,2318740.994,Maui,Aston Paki Maui,3615 Lower Honoapiilani Road,96761,CONDOMINIUM HOTEL,97,1976,Lahaina
466081.1068,2438778.322,Kauai,Aston Islander on the Beach,440 Aleka Place,96746,CONDOMINIUM HOTEL,103,1970,Kapaa
454025.165,2419176.326,Kauai,Aston at Poipu Kai,1775 Poipu Road,96756,CONDOMINIUM HOTEL,295,1980,Koloa
463371.7942,2428227.224,Kauai,Banyan Harbor Resort,3411 Wilcox Road,96766,CONDOMINIUM HOTEL,124,1978,Lihue
466227.5435,2438985.582,Kauai,Plantation Hale Suites,525 Aleka Loop,96746,CONDOMINIUM HOTEL,134,1973,Kapaa
622040.428,2353230.054,Oahu,Aqua Pacific Monarch Hotel,2427 Kuhio Avenue,96815,CONDOMINIUM HOTEL,198,1976,Honolulu
622169.2738,2352801.632,Oahu,Renew,129 Paoakalani Avenue,96815,HOTEL,72,1967,Honolulu
622028.1302,2353182.292,Oahu,Royal Grove Hotel,151 Uluniu Avenue,96815,HOTEL,77,1952,Honolulu
621822.0999,2353619.042,Oahu,White Sands,431 Nohonani Street,96815,HOTEL,95,1959,Honolulu
889871.5245,2149062.728,Hawaii,Volcano House,1 Crater Rim Drive,96718,HOTEL,43,1941,Hawaii National Park
621735.6726,2353566.09,Oahu,Ohia Waikiki,2280 Kuhio Avenue,96815,HOTEL,251,1972,Honolulu
622081.49,2353000.325,Oahu,Alohilani Resort Waikiki Beach,2490 Kalakaua Avenue,96815,HOTEL,839,1969,Honolulu
621243.8356,2354073.091,Oahu,Ambassador Hotel Waikiki,2040 Kuhio Avenue,96815,HOTEL,300,1965,Honolulu
828779.7796,2209144.182,Hawaii,Fairmont Orchid,1 North Kaniku Drive,96743,HOTEL,540,1990,Kohala Coast
719047.6603,2295019.683,Lanai,Four Seasons Resort Lanai,1 Manele Bay Road,96763,HOTEL,213,1990,Lanai City
766575.7099,2288785.722,Maui,Four Seasons Resort Maui at Wailea,3900 Wailea Alanui Drive,96753,HOTEL,383,1990,Kihei
815516.349,2174345.306,Hawaii,Holiday Inn Express & Suites Kailua Kona,75-146 Sarona Road,96740,HOTEL,75,2014,Kailua-Kona
820036.9252,2172112.892,Hawaii,Holualoa Inn,76-5932 Mamalahoa Highway,96725,BED & BREAKFAST,8,1987,Holualoa
597406.7929,2395182.37,Oahu,Aloha From The Sunset Beach House,59-531 Ke Iki Road,96712,INDIVIDUAL VACATION UNIT,1,NA,Haleiwa
828456.4723,2129610.446,Hawaii,Belle Vue Kona,Mamalahoa Highway,96704,BED & BREAKFAST,2,2003,Captain Cook
778265.0043,2297256.945,Maui,Upcountry Bed & Breakfast,4925 Lower Kula Road,96790,BED & BREAKFAST,4,2001,Kula
827645.3627,2148099.204,Hawaii,Hale Hoola Bed & Breakfast,85-4577 Mamalahoa Highway,96704,,3,1998,Captain Cook
819059.2452,2172503.043,Hawaii,Hale Maluhia Country Inn,76-770 Hualalai Road,96740,BED & BREAKFAST,7,1992,Kailua-Kona
833818.8688,2240773.248,Hawaii,Hawaii Island Retreat at Ahu Pohaku Hoomaluhia,250 Maluhia Road,96755,HOTEL,18,2009,Kapa'au
910239.2665,2185189.988,Hawaii,Hilo Bay Hale Bed and Breakfast,301 Ponahawai Street,96720,BED & BREAKFAST,3,2009,Hilo
828099.7292,2144088.068,Hawaii,Horizon Guest House,86-3992 Mamalahoa Highway,96704,BED & BREAKFAST,3,1998,Captain Cook
716661.272,2304160.799,Lanai,Hotel Lanai,828 Lanai Avenue,96763,HOTEL,11,1923,Lanai City
712788.5682,2330986.851,Molokai,Ka Hale Mala B & B,35 Kamakana Place,96748,BED & BREAKFAST,1,1995,Kawela Gardens
739939.6951,2315474.036,Maui,Kaanapali Beach Hotel,2525 Kaanapali Parkway,96761,HOTEL,432,1964,Lahaina
460912.3439,2454947.607,Kauai,Kilauea Lakeside Estate,4613 G Waiakalua,96754,INDIVIDUAL VACATION UNIT,1,1992,Kilauea
897769.7142,2152246.807,Hawaii,Kipuka Cottage,11-3798 Nahelenani Street,96785,INDIVIDUAL VACATION UNIT,1,,Volcano
780292.4826,2299937.653,Maui,Kula Lodge,15200 Haleakala Highway,96790,HOTEL,5,1949,Kula
838349.5442,2113918.552,Hawaii,Leilani Bed & Breakfast,92-8822 Leilani Parkway,96737,BED & BREAKFAST,3,2005,Ocean View
772917.6759,2314279.538,Maui,Mangolani B&B,325 Baldwin Avenue,96779,BED & BREAKFAST,6,,Paia
629861.7565,2368935.492,Oahu,Manu Mele Bed & Breakfast,153 Kailuana Place,96734,BED & BREAKFAST,2,1988,Kailua
789436.0533,2314204.872,Maui,Maui Eco Retreat,610 Huelo Road,96708,BED & BREAKFAST,5,,Haiku
